@RELATION DepthMaps 
@ATTRIBUTE shape_context0 numeric
@ATTRIBUTE shape_context1 numeric
@ATTRIBUTE shape_context2 numeric
@ATTRIBUTE shape_context3 numeric
@ATTRIBUTE shape_context4 numeric
@ATTRIBUTE shape_context5 numeric
@ATTRIBUTE shape_context6 numeric
@ATTRIBUTE shape_context7 numeric
@ATTRIBUTE shape_context8 numeric
@ATTRIBUTE shape_context9 numeric
@ATTRIBUTE shape_context10 numeric
@ATTRIBUTE shape_context11 numeric
@ATTRIBUTE shape_context12 numeric
@ATTRIBUTE shape_context13 numeric
@ATTRIBUTE shape_context14 numeric
@ATTRIBUTE shape_context15 numeric
@ATTRIBUTE shape_context16 numeric
@ATTRIBUTE shape_context17 numeric
@ATTRIBUTE shape_context18 numeric
@ATTRIBUTE shape_context19 numeric
@ATTRIBUTE point_cloud0 numeric
@ATTRIBUTE point_cloud1 numeric
@ATTRIBUTE point_cloud2 numeric
@ATTRIBUTE point_cloud3 numeric
@ATTRIBUTE point_cloud4 numeric
@ATTRIBUTE point_cloud5 numeric
@ATTRIBUTE point_cloud6 numeric
@ATTRIBUTE point_cloud7 numeric
@ATTRIBUTE point_cloud8 numeric
@ATTRIBUTE point_cloud9 numeric
@ATTRIBUTE point_cloud10 numeric
@ATTRIBUTE point_cloud11 numeric
@ATTRIBUTE point_cloud12 numeric
@ATTRIBUTE point_cloud13 numeric
@ATTRIBUTE point_cloud14 numeric
@ATTRIBUTE class { A B C D E  } 

 @DATA 
0.097315,0.186191,0.044543,0.159895,0.126561,-0.195991,0.240173,0.093237,-0.011467,0.160247,-0.007385,-0.069810,-0.046686,-0.001863,0.052369,-0.067557,-0.058765,-0.016948,-0.040858,0.076628,260.453952,165.291758,65.752390,84.595637,25.722933,44.327881,0.999776,-0.005649,-0.020379,-0.020340,0.006847,-0.999770,0.797637,0.397926,0.453243,C
-0.079484,0.034617,-0.048549,0.189604,0.057186,-0.203671,0.203473,0.103287,-0.007616,0.153682,0.017253,-0.062368,-0.026774,-0.012181,0.070088,-0.062359,-0.049819,-0.005286,-0.030741,0.078620,268.353749,197.728887,71.028827,85.356335,29.871646,49.521520,-0.998589,-0.008284,-0.052460,0.052338,0.014321,-0.998527,0.779505,0.450571,0.435152,C
-0.098038,0.006593,-0.056345,0.214457,0.027918,-0.198916,0.222424,0.101067,-0.021089,0.138421,-0.015491,-0.098615,-0.045118,-0.009237,0.067074,-0.061548,-0.066577,-0.017501,-0.036869,0.070899,262.773175,227.211224,68.712814,86.851723,26.773149,48.833273,0.999400,0.027036,0.021641,-0.026773,0.999565,-0.012340,0.759162,0.487426,0.431381,C
0.047996,0.069407,-0.029285,0.285220,0.125539,-0.067291,0.198482,0.070506,-0.019703,0.153835,-0.013984,-0.047974,-0.055157,0.000343,0.046732,-0.058449,-0.060475,-0.027885,-0.017756,0.067598,129.487753,322.262286,24.536634,71.611493,22.791199,58.997337,-0.980078,-0.042155,-0.194089,-0.193755,-0.011921,0.980978,0.535248,0.699366,0.473704,C
0.059679,0.120056,0.029742,0.190447,0.095963,-0.180623,0.227165,0.062295,-0.031412,0.178643,-0.043893,-0.110072,-0.054237,0.003400,0.059457,-0.072889,-0.073237,-0.030610,-0.045507,0.083142,261.228583,227.266089,69.089371,86.330477,25.973041,47.559375,-0.999075,-0.039726,-0.016464,-0.039684,0.999208,-0.002882,0.759162,0.487426,0.431381,C
-0.230615,0.025072,0.059327,0.241126,0.135621,-0.138068,0.119084,0.066769,-0.006408,0.139215,-0.024749,-0.049688,-0.053189,0.005267,0.063044,-0.057704,-0.061528,-0.019313,-0.034381,0.072075,268.929654,161.626517,26.718823,105.708283,38.176177,44.823276,0.998029,0.062556,0.005065,-0.061202,0.987944,-0.142200,0.803974,0.414575,0.426325,A
0.000150,0.020970,-0.065945,0.265005,0.126736,-0.110486,0.206530,0.079068,-0.013814,0.144418,-0.011438,-0.049599,-0.050054,-0.009044,0.063417,-0.063540,-0.060663,-0.001439,-0.044752,0.066557,139.631670,305.520415,32.531650,71.647548,28.382493,70.118229,-0.756362,0.031833,-0.653378,0.653047,-0.021330,-0.757017,0.530064,0.697253,0.482567,C
0.257640,0.138772,-0.020623,0.163798,0.144234,-0.113704,0.191435,0.101283,-0.018653,0.155784,-0.014868,-0.091769,-0.070537,-0.015758,0.061181,-0.058394,-0.042603,-0.018620,-0.031918,0.061975,130.344522,356.705391,62.465685,67.151227,20.639911,52.786811,-0.998648,-0.019544,-0.048170,0.048700,-0.027561,-0.998433,0.502718,0.733356,0.457672,C
0.266932,0.104071,0.003265,0.159140,0.098051,-0.112994,0.170369,0.114246,-0.035948,0.206072,-0.009777,-0.091698,-0.042359,0.001256,0.080795,-0.081679,-0.063226,-0.020171,-0.030865,0.060874,129.922427,418.643091,61.403822,67.445751,21.526262,49.215975,-0.997256,-0.019131,0.071514,0.071485,0.002189,0.997439,0.451793,0.785220,0.423452,C
0.274345,0.033135,0.155465,0.168788,-0.009437,-0.129533,0.173081,0.039914,0.091827,0.205833,0.023907,-0.096673,-0.063331,0.000134,0.053083,-0.059010,-0.061383,-0.015021,-0.033974,0.071949,129.899628,417.987027,62.595158,70.502203,19.594751,50.696636,-0.995356,-0.001059,0.096260,0.096237,0.013887,0.995262,0.467129,0.775200,0.425272,C
0.213312,0.159837,0.026132,0.142053,0.078204,-0.136185,0.154119,0.084938,-0.025927,0.106808,0.023500,-0.100169,-0.052424,0.008647,0.042190,-0.058708,-0.048161,-0.022400,-0.023498,0.054496,132.635661,415.602252,64.445655,69.438494,17.383702,54.863633,-0.995034,0.032652,0.094033,0.093880,-0.006195,0.995564,0.456559,0.780025,0.427919,C
0.269110,0.145530,-0.005540,0.111574,0.113018,-0.164281,0.158712,0.115484,-0.017650,0.153608,0.021114,-0.058977,-0.084483,-0.023879,0.077363,-0.059723,-0.049291,-0.039123,-0.042295,0.064557,128.048401,405.668469,65.293622,69.049786,19.426129,52.839052,-0.998558,-0.030265,0.044344,-0.031303,0.999247,-0.022907,0.476964,0.764168,0.434225,C
0.196574,0.107871,-0.014938,0.177474,0.114664,-0.131334,0.182967,0.093223,-0.041898,0.145160,-0.001975,-0.095529,-0.064568,0.020477,0.048644,-0.076847,-0.050804,-0.018807,-0.038125,0.073745,130.163000,420.923866,68.568294,68.856289,21.145387,50.302120,0.999757,0.017508,-0.013393,-0.017366,0.999793,0.010612,0.457563,0.785565,0.416563,C
