@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string
@attribute measureOutOfBagError numeric

@data

DepthMaps,3,10,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,1,2,0,33.333333,66.666667,0,0,0.253333,0.376085,92.121212,102.74461,5.034216,4.475535,0.558681,1.678072,1.491845,0.186227,0.626376,0.208792,33.217292,0,0,0.5,1,0.5,1,1,1,0,0,0,0.5,0.333333,0.333333,0.666667,0.666667,0.333333,0.333333,0.333333,0.5,0.01,0,0,0,98929,8581,3853,?,0.37037
DepthMaps,4,1,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,2,1,0,66.666667,33.333333,0,0.5,0.185333,0.285704,67.393939,78.052884,5.034216,2.879765,2.154451,1.678072,0.959922,0.71815,2.154451,0.71815,114.252507,0,0,0,0,1,2,1,1,0,0,0,0.5,0.666667,0.166667,0.833333,0.333333,0.5,0.666667,0.555556,0.666667,0.011,0,0,0,97751,8581,3853,?,0.333333
DepthMaps,4,2,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,2,1,0,66.666667,33.333333,0,0.5,0.230667,0.336274,83.878788,91.86833,5.034216,4.102019,0.932196,1.678072,1.36734,0.310732,1.30517,0.435057,69.214384,1,1,0.5,1,0.5,1,0,0,0.5,1,0.666667,0.5,0.666667,0.166667,0.833333,0.333333,0.5,0.666667,0.555556,0.5,0.01,0,0.0156,0,98990,8581,3853,?,0.333333
DepthMaps,4,3,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,2,1,0,66.666667,33.333333,0,0.5,0.184,0.271465,66.909091,74.162955,5.034216,2.895738,2.138477,1.678072,0.965246,0.712826,2.138477,0.712826,113.40541,0,0,0,0,1,2,1,1,0,0,0,1,0.666667,0.166667,0.833333,0.333333,0.5,0.666667,0.555556,1,0.011,0,0.0156,0,102708,8581,3853,?,0.333333
DepthMaps,4,4,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,3,0,0,100,0,0,1,0.158667,0.225477,57.69697,61.599288,5.034216,2.233379,2.800836,1.678072,0.74446,0.933612,2.800836,0.933612,148.530922,1,1,0,0,1,2,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0.011,0,0.0156,0,101910,8581,3853,?,0.518519
DepthMaps,4,5,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,2,1,0,66.666667,33.333333,0,0.5,0.205333,0.334245,74.666667,91.314214,5.034216,3.919293,1.114922,1.678072,1.306431,0.371641,1.721492,0.573831,91.292318,1,1,0.5,1,0.5,1,0,0,0.5,1,0.666667,0.5,0.666667,0.166667,0.833333,0.333333,0.5,0.666667,0.555556,0.666667,0.011,0,0,0,94966,8581,3853,?,0.37037
DepthMaps,4,6,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,2,1,0,66.666667,33.333333,0,0.5,0.172,0.263894,62.545455,72.094528,5.034216,2.548565,2.485651,1.678072,0.849522,0.82855,2.485651,0.82855,131.816357,0,0,0,0,1,2,1,1,0,0,0,1,0.666667,0.166667,0.833333,0.333333,0.5,0.666667,0.555556,1,0.01,0,0,0,100340,8581,3853,?,0.407407
DepthMaps,4,7,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,2,1,0,66.666667,33.333333,0,0.5,0.204,0.303095,74.181818,82.804112,5.034216,3.182799,1.851417,1.678072,1.060933,0.617139,1.851417,0.617139,98.182319,1,1,0.5,1,0.5,1,0,0,0.5,1,0.666667,1,0.666667,0.166667,0.833333,0.333333,0.5,0.666667,0.555556,1,0.01,0,0.0156,0,96806,8581,3853,?,0.296296
DepthMaps,4,8,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,2,1,0,66.666667,33.333333,0,0.5,0.214667,0.315954,78.060606,86.316974,5.034216,3.472057,1.562159,1.678072,1.157352,0.52072,1.56851,0.522837,83.179533,1,1,0,0,1,2,0,0,1,1,1,1,0.666667,0.166667,0.833333,0.333333,0.5,0.666667,0.555556,0.833333,0.011,0,0.0156,0,97763,8581,3853,?,0.518519
DepthMaps,4,9,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,3,0,0,100,0,0,1,0.157333,0.22955,57.212121,62.712016,5.034216,2.188036,2.84618,1.678072,0.729345,0.948727,2.84618,0.948727,150.935533,1,1,0,0,1,2,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0.011,0,0.0156,0,98573,8581,3853,?,0.296296
